date,amount,currency,vendor
2019-09-08,30.16,USD,"223 Newport Ave, Pawtucket, RI 02861"
2019-05-18,46.73,USD,"8030 Renaissance Parkway, Durham, NC 27713"
2017-12-22,27.44,USD,"Brooklyn, NY"
2023-09-29,146.57,USD,"383 GELLERT BLVD., DALY CITY, CA 94015"
2018-01-30,146.73,USD,"375 North Canon Drive, Beverly Hills, CA 90210"
2016-02-12,28.4,USD,JT's Diner
2015-08-02,17.00,EUR,"Rue de la Paix 12, 1003 Lausanne"
2019-03-12,25.47,USD,1450 S. Dixie Highway
2019-03-03,52.47,USD,Primo Family Restaurant
2019-03-19,19.1,USD,"1683 ROUTE 9, CLIFFTON PARK, NY 12065"
2023-03-14,32.47,USD,Primo Family Restaurant
2017-12-29,42.74,USD,Crisfield Seafood Restaurant
2017-03-17,13.78,USD,
2012-09-12,523.0,THB,"KORUM MALL, 4TH FLOOR, MANGA, PANBEY RD, OFF EASTERN EXPRESS, ANDHERI WEST"
2017-11-24,28.31,USD,CHRIS'S HAMBURGERS
2015-08-06,22.7,USD,The Golden Spear Cafe
2017-03-19,9.5,USD,WINGS & THINGS
2017-12-28,37.6,USD,"590 Clover Lane, Ashland, Oregon"
2018-07-21,77.83,USD,"Friendly Red's of Windham, 22 Haverhill Rd, Windham, NH"
2017-09-23,85.07,USD,"730 Mass Ave
Cambridge, MA 02139-3308"
2018-02-17,22.87,USD,"615 Franklin Ave, Hartford, CT 06114"
2018-07-01,125.99,USD,"328 Washington Street, Hoboken, NJ 07030"
2018-10-25,26.76,USD,DINE_IN
2022-01-15,13.07,USD,Sonic America's Drive-In
2018-05-11,28.78,USD,"930 WAYNE AVE #100 SILVER SPRING, MD 20910"
2023-10-11,14.00,EUR,IKEA Wien Neves 185
2013-06-10,19.44,USD,"IN-N-OUT BURGER ESCONDIDO, 247 2 480 2152"
2017-03-05,41.32,USD,BEN'S BAYSIDE
2017-06-05,41.45,USD,HEDLEYS
2018-12-28,83.64,USD,Firefly American Bistro
2017-04-27,61.8,USD,"1120 15TH ST MIAMI BEACH, FL 33139"
2018-12-31,58.3,USD,CHARLES
2023-09-12,65.1,EUR,Rua das Flores 103
2013-07-07,7.27,USD,"McDonald's Restaurant #3100, 1617 N Eastern Ave, Los Angeles, CA 90033"
2017-08-13,26.38,USD,"Argonaut Diner2000, 1084 Yonkers Avenue, Yonkers, NY 10704"
2019-05-19,10.00,USD,JALISCO
2017-11-18,52.76,USD,Pappadeaux Seafood Kitchen
2018-01-28,52.06,USD,"6661 Stanford Ranch Rd. Rocklin, CA 95677"
2019-06-23,26.67,USD,"11318 Yonkers Ave, Yonkers, NY 10704"
