date,amount,currency,vendor
2018-09-07,17.8,USD,"Yogurtland, 12502 North Kendall Drive, Miami, FL 33186"
2019-07-21,33.75,USD,"Casa Rubia Cafe, 25-17 Astoria Blvd, Astoria, NY 11102"
2019-02-09,34.21,USD,"12345 S 13th St
White Center"
2019-02-23,48.53,USD,"15700 Bellflower Blvd, Bellflower, CA 90706"
2018-03-08,46.4,USD,CHLOE81
2019-03-24,69.79,USD,NAANCHING
2017-12-29,64.52,USD,Mexican Restaurant & Bar
2014-11-02,19.19,USD,"Store #0134 2900 Playa Vista Blvd. Playa Beach, CA 90049"
2019-04-10,13.53,USD,Collector's Choice Restaurant
2018-10-06,33.75,USD,"1805 Parker Rd Suite G110, 18C5 Parker Rd (678) 690-2005"
2018-01-27,184.47,USD,"Columbus Restaurant, 736 Ocean Drive, Miami Beach, FL 33139"
2017-06-10,7.55,USD,LANDFALL RESTAURANT
2017-09-10,71.58,USD,"Heart of Portugal Restaurant, 241 Mineola Blvd, Mineola, NY 11501"
2023-06-06,57.40,USD,"888 8th Ave, New York, NY 10019"
2019-04-19,28.04,USD,"SUKHOTHAI SUSHI + ASIAN FUSION, 11735 SW 147 AVE UNIT 36 MIAMI, FL 33196"
2017-06-28,13.25,USD,EL POLLO LOCO
2017/09/19,10.81,USD,"Mesones De Cotorra, Calle 204, Av. Ernesto Tumbe"
2016-12-03,26.96,USD,"1130 North Higley Rd Suite#7-102, Mesa, AZ 85205"
2018-07-13,69.76,USD,"HAWWI ETHIOPIAN RESTAURANT, 1125 QUEEN ST ALEXANDRIA, VA 22314"
2017-08-25,154.78,USD,STK Miami Beach
2018-10-03,26.15,CAD,"McDonald's, 16725 Stony Plain Rd, Edmonton AB T5P 4A9"
2018-07-26,43.3,USD,"Kaiseki, 7 West Merrick Rd. Valley Stream, NY 11580"
2017-06-14,27.62,USD,"BreadFish Cafe, 15848 Halliburton Rd, Hacienda Heights, CA 91745"
2018-10-29,37.37,USD,"383 Gellert Blvd., Daily City, CA 94015"
2013-08-12,13.26,USD,"12709 Beechnut St STE100, Houston, TX 77072"
2015-08-02,17.00,EUR,"la Source, Rue de la Paix 12, 1003 Lausanne"
2018-09-15,26.37,USD,Chili's Grill & Bar
2013-06-01,21.69,USD,"4469 SLAUSON AVE
Maywood, CA 90270"
2019-05-18,15.03,USD,GOLDEN BOWL TERIYAKI
2015-04-25,69.25,USD,"GRAND LUX CAFE, Roosevelt Field"
2018-09-25,46.98,USD,"Covina, CA 91723"
2019-02-02,35.52,USD,"1902 Jericho Turnpike, New Hyde Park NY 11040"
2018-11-10,53.23,USD,"Dominican Restaurant, 1019 Front St."
2013-11-06,56.38,USD,"124 East Park Ave, Long Beach, NY 11561"
2019-02-22,173.07,USD,"69838 HIGHWAY 111 RANCHO MIRAGE, CA 92270-2837"
2017-02-18,75.5,USD,"190 Jericho Tpke, Floral Park, NY 11001"
2016-10-06,333.72,USD,"Juniper & Ivy, 2228 Kettner Blvd, San Diego, CA 92101"
2018-11-05,143.71,USD,"Katana Sushi, 2818 Hewitt Ave, Everett, WA 98201"
2012-01-13,83.44,USD,Blue Bear Tavern
