date,amount,currency,vendor
2016-09-01,7.61,USD,"7230 Pendleton Pike, Indianapolis, IN 46226"
2018-07-21,25.78,USD,"889 W. 190th Street, Los Angeles, CA 90248"
2014-12-21,25.94,USD,"Hialeah, FL 33010"
2017-05-12,45.58,USD,Ortega Pizzeria & Tavern
2016-11-12,117.0,USD,JBR
2019-08-06,34.12,USD,Villaggio Grille
2017-10-25,14.17,USD,"27000 Marine Ave #103, Redondo Beach, CA 90278"
2016-07-15,109.28,USD,"Buca di Beppo, Store#0511
Universal City, CA 91608"
2019-07-03,4.99,USD,"401 Bergam St, Harrison, NJ 07029"
2013-03-16,164.89,USD,"Everett, WA"
2021-06-21,128.33,EUR,"Sara, Via Giovanni Boccaccio, 123 - 90069 West Hollywood, CA"
2016-04-07,439.85,USD,"DEL FRISCO'S S #8620, 1221 Avenue of the Americas New York, New York 10020"
2019-07-30,152.00,USD,"98 GARFIELD PARKWAY, BETHANY BEACH, DE 19930"
2019-08-30,68.99,USD,"16530 BELLFLOWER BLVD BELLFLOWER, CA 90706"
2019-03-17,38.86,USD,"Araxi Burger Aventura, 17861 BISCAYNE BLVD Aventura, FL 33160"
2017-07-05,27.08,USD,MIGUELS MEXICAN RESTAURANT
2017-07-15,79.17,USD,"Rosebud on Rush, 720 North Rush Street, Chicago, IL"
2016-12-19,13.05,USD,"CARL'S JR., 8105 MADISON AVE"
2019-06-28,10.95,USD,"886 N. Garfield Ave, Montebello, CA 90640"
2017-07-06,617.0,INR,"Andhra Style Family Restaurant, Vidyaranayapura, Bangalore-560097"
2017-01-21,11.91,USD,Gourdough's Public House
2018-06-30,154.0,USD,"Bombay Grill House, 764 9TH AVE NEW YORK, NY 10019"
2017-08-24,16.56,USD,"Lalo's Mexican at Navy Pier, 600 E Grand Ave"
2015-07-03,7.56,USD,Bar Louie Huntsville
2018-08-28,34.00,EUR,"BAR RISTORANTE, STRADITTENUTO MARINO E TERMINE SIN MONTINO S.R.L."
2018-04-13,55.38,USD,ipanema Brazilian Steak House
null,80.00,EUR,Primo Family Restaurant
2019-12-03,55.95,USD,"COMMANDER'S PALACE, 1427 WASHINGTON AVE., NEW ORLEANS, LA."
2023-06-26,64.43,USD,"Smoke City Market
5242 Van Nuys BLVD
Sherman Oaks, CA 91401"
2018-03-18,67.89,USD,"Nick's Tuscan Grill, 149 Mineola Blvd, Mineola, NY 11501"
2017-07-16,144.28,USD,MIKUNI JAPANESE
2015-06-02,39.18,USD,SAGE
2019-01-24,9.58,USD,"CAFE PARISIEN LARCHMONT LLC, 242 N LARCHMONT BLVD LOS ANGELES, CA 90004"
2019-06-29,92.22,USD,"35201 Newark Blvd, Newark, CA 94560"
2017-10-01,84.78,USD,"237 Washington Hoboken, NJ"
2019-08-23,21.76,USD,El Gato Negro
2018-04-24,10.0,USD,Taco Time - Kenmore
2017-05-09,30.98,USD,RINCON MEXICANO
2017-05-25,32.66,USD,"FIVE GUYS, 2640 Rayford Rd, Spring, TX 77386"
